City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,weno,7.4515,151.8468,28.55,76,68,4.41,FM,1722877233
159,novo aripuana,-5.1206,-60.3797,37.74,20,26,2.51,BR,1722877235
160,hithadhoo,-0.6,73.0833,29.18,72,100,3.44,MV,1722877236
161,atherton,53.5237,-2.4935,23.53,74,99,3.58,GB,1722877237
162,brookings,44.3114,-96.7984,25.25,92,40,8.23,US,1722877238
163,east london,-33.0153,27.9116,12.52,62,0,2.57,ZA,1722877204
164,kletskaya,49.3145,43.0584,20.58,86,69,2.81,RU,1722877240
165,yaroslavskaya,44.6106,40.4642,22.36,66,13,2.52,RU,1722877241
166,port blair,11.6667,92.75,26.02,89,75,2.57,IN,1722877243
167,nadi,-17.8,177.4167,18.0,77,40,0.0,FJ,1722876948
168,hawaiian paradise park,19.5933,-154.9731,21.61,98,88,0.45,US,1722877245
169,karratha,-20.7377,116.8463,18.84,36,0,3.53,AU,1722877192
170,port elizabeth,-33.918,25.5701,14.62,63,3,0.45,ZA,1722877247
171,midvagur,62.0511,-7.1939,12.46,100,100,5.14,FO,1722877248
172,bonthe,7.5264,-12.505,26.25,81,88,4.78,SL,1722877249
173,vaasa,63.096,21.6158,21.14,65,0,4.12,FI,1722877250
174,plastun,44.7561,136.2939,13.12,83,64,1.02,RU,1722877251
175,moapa valley,36.5805,-114.4703,39.58,18,7,4.27,US,1722877253
176,badger,64.8,-147.5333,20.6,75,40,2.57,US,1722877254
177,qaqortoq,60.7167,-46.0333,9.49,68,100,1.5,GL,1722876989
178,san pedro pochutla,15.7333,-96.4667,33.17,62,33,1.94,MX,1722877256
179,el calafate,-50.3408,-72.2768,0.52,88,79,2.37,AR,1722877257
180,kitimat,54.0524,-128.6534,25.51,48,0,0.89,CA,1722877258
181,itoman,26.1247,127.6694,29.01,91,75,4.63,JP,1722877259
182,bandarbeyla,9.4942,50.8122,24.7,85,76,13.58,SO,1722877260
183,zambezi,-13.5432,23.1047,23.38,12,3,1.98,ZM,1722877262
184,vorgashor,67.5833,63.95,8.72,65,11,4.45,RU,1722877263
185,chumphon,10.3333,98.8333,23.7,93,97,1.26,TH,1722877264
186,argostolion,38.1811,20.489,31.04,62,0,6.69,GR,1722877265
187,turuntayevo,52.2,107.6167,13.05,77,19,1.0,RU,1722877266
188,lazaro cardenas,17.9583,-102.2,29.35,68,100,1.83,MX,1722877267
189,sitka,57.0531,-135.33,22.62,47,10,0.4,US,1722877268
190,asyut,27.181,31.1837,39.1,13,4,4.38,EG,1722877270
191,jawf al maqbabah,13.8378,45.8349,27.63,71,83,1.4,YE,1722877271
192,whakatane,-37.9585,176.9854,3.27,87,68,2.3,NZ,1722877272
193,hasaki,35.7333,140.8333,25.22,86,12,1.6,JP,1722877051
194,alice springs,-23.7,133.8833,4.75,93,0,0.0,AU,1722877243
195,nacozari viejo,30.4,-109.65,29.7,42,7,1.12,MX,1722877275
196,morehead city,34.7229,-76.726,29.45,80,20,4.12,US,1722877276
197,cooma,-36.2333,149.1333,1.57,94,14,0.81,AU,1722877278
198,mora,11.0461,14.1401,26.59,68,98,3.91,CM,1722877279
199,smithers,54.7804,-127.1743,17.18,51,20,2.06,CA,1722877108
200,sokur,55.2093,83.319,15.2,85,98,3.27,RU,1722877281
201,kingscliff,-28.2667,153.5667,14.85,83,91,4.4,AU,1722877282
202,lamu,-2.2717,40.902,31.12,79,19,6.1,KE,1722877283
203,ketchikan,55.3422,-131.6461,17.97,63,29,1.53,US,1722877284
204,sochi,43.6,39.7303,26.05,79,5,3.22,RU,1722877285
205,san felice circeo,41.2372,13.0942,34.14,70,4,4.27,IT,1722877286
206,tosontsengel,48.7567,98.2839,12.57,51,6,1.11,MN,1722877288
